title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Case,Stöð 2,IS,TV-MA,2015-10-18,1,Ended,7.1,2075,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Þorsteinn Bachmann, Jóhanna Vigdís Arnardóttir, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir, Bergur Þór Ingólfsson, Halldóra Geirharðsdóttir, Arnar Jónsson, Davíð Freyr Þórunnarson, Björn Stefánsson, Nína Dögg Filippusdóttir, Hjortur Jóhann Jónsson",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Green Eggs and Ham,Netflix,US,TV-Y7,2019-11-08,1,Running,8.2,1696,"Michael Douglas, Adam Devine, Keegan-Michael Key, Eddie Izzard, Jillian Bell, Ilana Glazer, Diane Keaton, Jeffrey Wright, John Turturro, Tracy Morgan, Daveed Diggs","On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish.",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Damnation,USA Network,AU,TV-14,2017-11-07,1,Ended,7.7,6524,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler","During the Great Depression, a stranger with a violent past poses as a preacher and rallies farmers to mount a strike in a rural Iowa community.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate,jTBC,KR,TV-14,2019-11-29,1,Ended,7.7,640,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo","Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cloudy with a Chance of Meatballs,Cartoon Network,US,TV-Y7,2017-02-20,1,Running,3.3,618,"Mark Edwards, Katie Griffin, Seán Cullen, David Berni, Clé Bennett, Patrick McKenna","Teenager Flint Lockwood has a knack for invention. With help from his pal Sam Sparks, he might even change the world – if he doesn't break it first.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sugar Rush Christmas,Netflix,US,TV-PG,2019-11-29,1,Running,6.9,254,"Hunter March, Candace Nelson, Adriano Zumbo","It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Movies That Made Us,Netflix,US,TV-MA,2019-11-29,1,Running,7.8,2451,Unknown,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Levius,Netflix,US,TV-14,2019-11-28,1,To Be Determined,7.1,352,"Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano",Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Broken,BBC One,GB,TV-14,2017-05-30,1,Ended,8.1,2459,Unknown,This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dirty John,USA Network,US,TV-14,2018-11-25,1,To Be Determined,7.2,14768,"Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel",Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
The Final Table,Netflix,US,TV-PG,2018-11-20,1,Ended,7.7,3009,Andrew Knowlton,Teams of elite chefs vie to impress the world's toughest palates as they whip up iconic dishes from nine nations in this star-packed competition.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bella and the Bulldogs,Nickelodeon,US,TV-G,2015-01-17,1,Ended,5.3,1377,"Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson, Lilimar, Haley Tju, Dorien Wilson, Rio Mangini, Annie Tedesco","The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brainchild,Netflix,US,TV-Y7,2018-11-02,1,To Be Determined,7.9,294,"Sahana Srinivasan, Alie Ward, Ben Seidman","From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
La Doña,Telemundo,US,TV-14,2016-11-24,1,Running,6.8,500,"Aracely Arámbula, David Chocarro, Danna Paola, Rebecca Jones, Odiseo Bichir, Gabriela Roel, Andrea Martí, Juan Ríos Cantú, Diego Soldano, Daniela Bascopé","Worlds collide and lives shatter when Altagracia, a powerful and elegant businesswoman, plots a ruthless revenge while falling in love.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Silvana Sin Lana,Telemundo,US,TV-14,2016-07-19,1,Ended,7.4,251,"Maritza Rodríguez, Carlos Ponce, Marimar Vega, Adriana Barraza, Marcela Guirado, Ricardo Abarca, Thali García, Alexandra Pomales, Briggitte Bozzo, Santiago Torres, Patricio Gallardo, Roberto Escobar, Samantha Dagnino, Raury Rolander, Vince Miranda, Javier Valcárcel","When her fugitive husband leaves her homeless and penniless, a once-wealthy woman has no other choice but to join the working class.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
