title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Kuromukuro,AT-X,JP,TV-14,2016-04-07,2,Ended,7.2,1070,"Yohei Azakami, M・A・O, Reina Ueda, Asami Seto, Kaito Ishikawa, Yusuke Kobayashi, Shunsuke Takeuchi, Manami Sugihira, Momo Asakura, Kanako Tojo, Ryohei Kimura, Hikaru Ueda, Taiten Kusunoki","When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Letdown,ABC,AU,TV-MA,2017-10-25,2,To Be Determined,7.5,2597,"Alison Bell, Duncan Fellows, Noni Hazlehurst, Sacha Horler, Leon Ford, Lucy Durack, Leah Vandenberg, Celeste Barber, Xana Tang, Patrick Brammall","Audrey, mother of a 2-month-old, joins a new-parents support group, where she makes some quirky friends facing various challenges and life changes.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
El Chapo,Univision,US,TV-MA,2017-04-23,3,Ended,7.8,14046,"Marco de la O, Humberto Busto, Alejandro Aguilar, Rodrigo Abed, Luis Fernando Peña, Juan Carlos Olivas, Rolf Petersen, Carlos Hernan Romo, Héctor Holten, Diego Vásquez, Teté Espinoza, Luis Rábago, Dolores Heredia, Cristina Michaus, Valentina Acosta, Juliette Pardau, Abril Schreiber","This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord Joaquín ""El Chapo"" Guzmán.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
My First First Love,Netflix,US,TV-PG,2019-04-18,2,Ended,7.6,1202,"Ji Soo, Jung Chae-yeon, Jinyoung, Choi Ri, Kang Tae-oh, Hong Ji-yoon","Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orange Is the New Black,Netflix,US,TV-MA,2013-07-11,7,Ended,8.1,275519,"Taylor Schilling, Kate Mulgrew, Laura Prepon, Jason Biggs, Natasha Lyonne, Michael Harney, Uzo Aduba, Danielle Brooks, Samira Wiley, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Lea DeLaria, Matt McGorry, Emma Myles, Vicky Jeudy, Laverne Cox, Pablo Schreiber, Lori Petty, Ruby Rose, Adrienne C. Moore, Jackie Cruz, Elizabeth Rodriguez","A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of ""Weeds.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sugar Rush,Netflix,US,TV-PG,2018-07-13,2,Running,7.7,3845,"Candace Nelson, Adriano Zumbo, Hunter March",Time's the most important ingredient as teams race against the clock – and each other – to bake up the best-tasting sweets.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Worst Witch,CBBC,GB,TV-Y7,2017-01-11,3,To Be Determined,7.2,1429,"Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books.",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Beat Bugs,7TWO,AU,TV-Y,2016-07-25,3,To Be Determined,7.6,465,"Ashleigh Ball, Lili Beaudoin, Charles Demers, Rebecca Husain, Erin Mathews","With songs made famous by the Beatles, five friendly bugs learn big lessons about the world around them – all from the safety of their own backyard.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Good Witch,SBS,US,TV-PG,2018-03-03,4,Ended,7.3,7090,"Catherine Bell, Bailee Madison, Rhys Matthew Bond, James Denton, Catherine Disher, Anthony Lemke, Peter MacNeill, Hannah Endicott-Douglas, Noah Cappe, Kylee Evans","Raising her daughter in a small town, an enchanting widow with magical powers provokes the interest and exasperation of a skeptical big-city doctor.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Comedians in Cars Getting Coffee,Netflix,US,TV-14,2012-07-19,6,To Be Determined,8.1,10707,Jerry Seinfeld,"Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Chance U,Netflix,US,TV-MA,2016-07-29,4,Ended,8.5,5849,"John Franklin III, DJ Law, Buddy Stephens, Brittany Wagner, Ronald Ollie","In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Queer Eye,Netflix,US,TV-14,2018-02-07,4,Running,8.5,15084,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski, Jonathan Van Ness","An all-new “Fab Five” advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Epic Tales of Captain Underpants,Netflix,US,TV-Y7,2018-07-13,3,Running,6.7,614,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jorge Diaz, Evan Kishiyama",Fourth-grade friends George and Harold have a shared love of pranks and comic books – and turning their principal into an undies-wearing superhero.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Intelligence,CBS,US,TV-14,2014-01-07,2,Ended,6.0,1817,"Ian Tracey, Klea Scott, John Cassini, Matt Frewer, Alana Husband, Kyla Wise, Camille Sullivan, Darcy Laurie, Eugene Lipinski, Michael Eklund",Clashes both on the street and in the bedroom pits the female head of the Organized Crime Unit against the cocky leader of a pot-smuggling ring.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Glee,FOX,US,TV-PG,2009-05-19,6,Ended,6.7,134893,"Lea Michele, Chris Colfer, Jane Lynch, Matthew Morrison, Cory Monteith, Naya Rivera, Kevin McHale, Jenna Ushkowitz, Amber Riley, Mark Salling, Heather Morris, Harry Shum Jr., Jayma Mays, Dianna Agron","Amid relationship woes and personal attacks from a wicked cheerleading coach, a teacher fights to turn underdog glee club members into winners.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Wynonna Earp,Syfy,CA,TV-14,2016-04-01,3,Running,7.4,17601,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Joel McHale Show with Joel McHale,Netflix,US,TV-MA,2018-02-18,2,Ended,7.2,2152,Joel McHale,"Trending news, pop culture, social media, original sketches and more come together in host Joel McHale's new weekly comedy commentary show.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug Lords,Netflix,US,TV-MA,2018-01-19,2,Ended,6.9,988,Unknown,"Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cheers,NBC,US,TV-PG,1982-09-30,11,Ended,7.8,47120,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto","Sam Malone, an ex-baseball player turned bar owner, operates a saloon that's always filled with quirky customers and even more eccentric staff.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hostages,CBS,US,TV-MA,2013-09-23,2,Ended,6.8,3665,"Jonah Lotan, Ayelet Zurer, Tomer Kapon, Micha Celektar, Dar Zuzovsky, Yoav Rotman, Mickey Leon, Hilla Vidor, Nevo Kimchi, Ido Bartal, Shmil Ben Ari, Liat Stern, Michal Kalman, Yoav Levi",The night before a surgeon is set to operate on a prime minister her family is held hostage by gunmen who insist she kill him or her family will die.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Andy Griffith Show,CBS,US,TV-G,1960-10-03,8,Ended,8.3,11934,"Andy Griffith, Ron Howard, Don Knotts, Frances Bavier, Howard McNear, Hope Summers","Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry, a small town filled with lovable characters.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Peaks,Showtime,US,TV-MA,1990-04-08,2,Ended,8.5,54440,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook, Richard Beymer, Lara Flynn Boyle, Sherilyn Fenn, Warren Frost, Peggy Lipton, James Marshall, Everett McGill, Jack Nance, Joan Chen, Kimmy Robertson, Michael Horse, Piper Laurie, Harry Goaz, Eric DaRe, Wendy Robie, Ray Wise, Sheryl Lee, Russ Tamblyn, Don S. Davis, Chris Mulkey, Gary Hershberger, Grace Zabriskie","""Who killed Laura Palmer?"" is the question on everyone's lips in a secretive small town, but as an eccentric FBI agent learns, the answer isn't easy.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Between,Netflix,US,TV-14,2015-05-21,2,Ended,6.0,8136,"Jennette McCurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac, Jack Murray, Brooke Palsson, Jim Watson, Wesley Morgan, Krystal Hope Nausbaum, Shailene Garnett, Canute Gomes, Sarah Podemski, Shailyn Pierre-Dixon, Jesse Bostick, Steven Grayhm, Percy Hynes White, Mercedes Morris, Samantha Munro","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Marco Polo,Netflix,US,TV-MA,2014-12-12,2,Ended,8.0,62814,"Lorenzo Richelmy, Benedict Wong, Chin Han, Joan Chen, Michelle Yeoh, Rick Yune, Claudia Kim, Remy Hii, Zhu Zhu, Tom Wu, Mahesh Jadu, Olivia Cheng, Uli Latukefu, Pierfrancesco Favino, Jacqueline Chan, Leonard Wu, Gabriel Byrne","Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Episodes,Showtime,US,TV-MA,2011-01-09,5,Ended,7.8,32463,"Matt LeBlanc, Tamsin Greig, Stephen Mangan, Kathleen Rose Perkins, John Pankow, Mircea Monroe","Hoping to create an American version of their hit British sitcom, two screenwriters run into cultural obstacles, starting with the lead character.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne with an E,CBC,CA,TV-PG,2017-03-19,2,Ended,8.7,33280,"Amybeth McNulty, Geraldine James, R.H. Thomson, Corrine Koslo, Dalila Bela, Lucas Jade Zumann, Aymeric Jett Montaz","A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Z Nation,Syfy,US,TV-14,2014-09-12,5,Ended,6.7,32197,"Nat Zang, Russell Hodgkinson, Michael Welch, Anastasia Baranova, Kellita Smith, DJ Qualls, Keith Allan, Pisay Pao","A team embarks on a perilous cross-country mission to transport the one man who survived a deadly zombie virus, hoping he holds the key to a vaccine.",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Adventures of Puss in Boots,Netflix,US,TV-Y7-FV,2015-01-16,6,Ended,6.7,1309,"Eric Bauza, Jayma Mays, Grey DeLisle, Paul Rugg, Joshua Rush, Candi Milo, Laraine Newman","The world's greatest feline fighter, lover and milk connoisseur takes on daring adventures in exotic locations in this family-friendly comedy series.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The World's Most Extraordinary Homes,BBC Two,GB,TV-G,2017-01-06,3,To Be Determined,7.6,2681,"Piers Taylor, Caroline Quentin",Award-winning architect Piers Taylor and actress/property enthusiast Caroline Quentin travel the world to tour unconventional homes in extreme places.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Rita,TV2,DK,TV-MA,2012-02-09,4,Ended,8.1,6917,"Mille Dinesen, Carsten Bjørnlund, Lise Baastrup, Nikolaj Groth, Ellen Hillingsø, Morten Vang Simonsen, Lykke Sand Michelsen, Carsten Norgaard, Sara Hjort Ditlevsen, Alexandre Willaume","Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grace and Frankie,Netflix,US,TV-MA,2015-05-08,5,Running,8.3,37490,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn","They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Cat in the Hat Knows a Lot About That!,PBS,US,TV-Y,2010-09-06,2,Ended,6.5,389,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt","The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Parks and Recreation,NBC,US,TV-14,2009-04-09,7,Ended,8.6,206112,"Amy Poehler, Rashida Jones, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt, Jim O'Heir, Retta, Adam Scott, Rob Lowe, Paul Schneider","In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taken,NBC,US,TV-14,2017-02-27,2,Ended,6.6,9254,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert","After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Friends from College,Netflix,US,TV-MA,2017-07-14,2,Ended,6.9,17485,"Keegan-Michael Key, Cobie Smulders, Billy Eichner, Fred Savage, Nat Faxon, Annie Parisse, Jae Suh Park","Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Horrid Henry,Citv,UK,TV-G,2006-10-31,2,Ended,6.2,614,"Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt","To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool.",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Pocoyo,ITV,ES,TV-Y,2005-01-01,4,Ended,7.5,1151,"Stephen Fry, Alex Marty",Discovery is the name of the game for friendly toddler Pocoyo in this lifelike and richly colored animated adventure series for preschoolers.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mia and Me,Nick Jr.,US,TV-Y,2014-05-03,2,Running,6.7,477,"Rosabell Laurenti Sellers, Adrian Moore, Saphia Stoney, Josephine Benini, Andrew Craig, Tajja Isen, Rod Wilson, Linda Ballantyne, Jonathan Wilson, Elizabeth Hanna, Norma Dell'Agnese","A mysterious gift from her late parents sends 12-year-old Mia into an enchanted world of elves, unicorns and an evil queen named Panthea.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dexter,Showtime,US,TV-MA,2006-10-01,8,Running,8.6,633539,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar, C.S. Lee, Lauren Vélez, Desmond Harrington, Julie Benz, Christina Robinson, Geoff Pierson","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Fullmetal Alchemist: Brotherhood,TBS,JP,TV-14,2009-04-05,5,Ended,9.1,111876,"Romi Park, Rie Kugimiya, Megumi Takamoto, Shinichiro Miki, Fumiko Orikasa, Kenji Utsumi, Keiji Fujiwara, Yuji Ueda, Biichi Sato, Tetsuya Kakihara, Kenji Hamada, Kaori Nazuka, Hidekatsu Shibata, Kenta Miyake, Kikuko Inoue, Tetsu Shiratori, Minami Takayama, Hiroyuki Yoshino, Yoko Soumi, Kazuya Nakai, Ryuzaburo Otomo",After both suffer physical damage – brothers Edward and Alphonse battle nefarious forces to try to reclaim their bodies in this supernatural anime.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Inbetweeners,E4,UK,TV-MA,2008-05-01,3,Ended,8.4,78789,"Simon Bird, James Buckley, Blake Harrison, Joe Thomas, Greg Davies, Emily Head, Martin Trenaman, Belinda Stewart-Wilson, Robin Weaver, Henry Lloyd-Hughes",This rib-tickling series follows four English lads as they try – and fail spectacularly – to navigate the wretched no-man's land of adolescence.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Star Trek: Deep Space Nine,Syndication,US,TV-PG,1993-01-03,7,Ended,8.0,51362,"Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn","In this ""Star Trek"" spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Big Mouth,Netflix,UK,TV-MA,2017-09-29,3,Running,8.0,50873,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele",Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man Like Mobeen,BBC Three,GB,TV-MA,2017-12-17,2,To Be Determined,7.9,1569,Unknown,"Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
One Day at a Time,Pop,US,TV-PG,2017-01-06,3,Running,8.2,12497,"Justina Machado, Rita Moreno, Todd Grinnell, Isabella Gomez, Marcel Ruiz, Stephen Tobolowsky","In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babylon Berlin,Sky 1,DE,TV-MA,2017-10-13,2,Running,8.4,17442,"Volker Bruch, Liv Lisa Fries, Peter Kurth, Leonie Benesch, Matthias Brandt, Severija Janusauskaite, Fritzi Haberlandt, Ivan Shvedoff, Lars Eidinger, Anton von Lucke, Misel Maticevic",A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Netflix,FR,TV-MA,2016-05-06,2,Ended,6.9,4429,"Gérard Depardieu, Benoît Magimel, Géraldine Pailhas, Nadia Farès, Stéphane Caillard, Jean-René Privat, Pascal Elso, Gérard Meylan",The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chef's Table,Netflix,US,TV-MA,2015-04-26,6,To Be Determined,8.6,13004,Unknown,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bates Motel,A&E,US,TV-14,2013-03-18,5,Ended,8.1,95285,"Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nicola Peltz, Nestor Carbonell, Mike Vogel, Keegan Connor Tracy","When his father dies, Norman Bates and his mother open a hotel. But Norman's precarious mental state drives them down a dark and violent path.",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Bordertown,FOX,US,TV-MA,2016-01-03,2,Ended,5.3,2742,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid",A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Velvet Colección,#0,ES,TV-14,2017-09-22,2,Ended,7.2,1020,"Marta Hazas, Asier Etxeandía, Adrián Lastra, Diego Martín, Fernando Guallar, Llorenç González, Megan Montaner, Mónica Cruz, Marta Torné, Andrea Duro, Aitana Sánchez-Gijón, Adriana Ozores, Imanol Arias","In the late '60s, fashion designer Ana enlists friends Clara, Pedro and Raúl to open a store and design school in Barcelona in this ""Velvet"" spinoff.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Story of God with Morgan Freeman,National Geographic Channel,GB,TV-14,2016-04-03,2,To Be Determined,7.9,4376,Morgan Freeman,"Host Morgan Freeman explores religion's role in human history, how our beliefs connect us and possible answers to life's million-dollar questions.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spartacus,Starz,US,TV-MA,2010-01-22,4,Ended,8.5,219510,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel","A Thracian man is condemned to a brutal death in the arena, only to outlast his executioners and be reborn as the enslaved gladiator Spartacus.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Neo Yokio,Netflix,US,TV-MA,2017-09-22,2,Ended,5.9,2956,"Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise","Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Fuller House,Netflix,US,TV-Y7,2016-02-26,4,Ended,6.8,24348,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion, Elias Harger, Soni Bringas, Dashiell Messitt, Fox Messitt, John Stamos, Bob Saget, Dave Coulier, Lori Loughlin, Scott Weinger, Blake Tuomy-Wilhoit, Dylan Tuomy-Wilhoit, John Brotherton, Juan Pablo Di Pace",The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenleaf,Oprah Winfrey Network,US,TV-14,2016-06-21,3,Ended,7.4,4094,"Merle Dandridge, Kim Hawthorne, Desiree Ross, Lamman Rucker, Tye White, Lynn Whitfield, Deborah Joy Winans, Keith David, Lovie Simone, Gregory Alan Williams, Oprah Winfrey","Although members of the Greenleaf family run a Memphis megachurch, their business and personal lives are tainted with greed, adultery and other sins.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nurse Jackie,Showtime,US,TV-MA,2009-06-08,7,Ended,7.7,24399,"Edie Falco, Merritt Wever, Paul Schulze, Peter Facinelli, Stephen Wallem, Eve Best, Dominic Fumusa, Ruby Jerins, Anna Deavere Smith",A flawed but dedicated ER nurse works in a New York City hospital and relies on pain meds to get through exhausting days in this Emmy-winning show.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Highway Thru Hell,Discovery Channel,CA,TV-PG,2012-09-04,3,Running,8.1,1016,"Dave Pettitt, Jamie Davis, Adam Gazzola, Kevin Ritchie","On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
When Calls the Heart,Hallmark Channel,US,TV-G,2014-01-11,5,Running,8.2,9536,"Erin Krakow, Daniel Lissing, Lori Loughlin, Martin Cummins, Chelah Horsdal, Gracyn Shinyei, Jack Wagner, Mitchell Kummen, Loretta Walsh, Erica Carroll, Darius Zaviceanu, Charlotte Hegele, Steve Bacic, Adrian Hough","Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The West Wing,NBC,US,TV-14,1999-09-22,7,Ended,8.8,61922,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer, Bradley Whitford, Janel Moloney, Richard Schiff, Dulé Hill, NiCole Robinson, Melissa Fitzgerald, Joshua Malina, Stockard Channing, Kim Webster, Kris Murphy, Timothy Davis-Reed",This powerful political epic chronicles the triumphs and travails of White House senior staff under the administration of President Josiah Bartlet.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sense8,Netflix,US,TV-MA,2015-06-05,2,Ended,8.3,136326,"Tuppence Middleton, Brian J. Smith, Doona Bae, Max Riemelt, Naveen Andrews, Daryl Hannah, Freema Agyeman, Terrence Mann, Adam Shapiro, Max Mauff, Alfonso Herrera, Eréndira Ibarra, Aml Ameen, Jamie Clayton, Tina Desae, Miguel Ángel Silvestre, Toby Onwumere, Joe Pantoliano","From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Private Practice,ABC,US,TV-14,2007-09-26,6,Ended,6.6,21977,"Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben","At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
People Just Do Nothing,BBC Two,UK,TV-MA,2014-07-20,5,Ended,8.5,3963,"Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis",Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Borderline,My5,GB,TV-14,2016-08-02,2,Ended,7.1,1309,"David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie",A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Magicians,Syfy,US,TV-MA,2015-12-16,3,Ended,7.6,42097,"Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bad Education,BBC Three,UK,TV-MA,2012-08-14,3,Ended,7.4,10190,"Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield","A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Flowers,Channel 4,UK,TV-MA,2016-04-25,2,Ended,8.2,4078,"Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
